Alabama,-0.816631618
Alaska,-0.273862081
Arizona,-0.802139769
Arkansas,-0.490354719
California,-0.971935843
Colorado,-0.918654608
Connecticut,-0.919086435
Delaware,-0.490735033
Florida,-0.978189491
Georgia,-0.97863701
Hawaii,-0.070791982
Idaho,-0.798018555
Illinois,-0.960501927
Indiana,-0.837509147
Iowa,-0.561411765
Kansas,-0.775870146
Kentucky,-0.851803425
Louisiana,-0.861174747
Maine,0.103136325
Maryland,-0.972311962
Massachusetts,-0.914435348
Michigan,-0.962843284
Minnesota,-0.835923403
Mississippi,-0.800231747
Missouri,-0.88521571
Montana,0.736548312
Nebraska,-0.660214275
Nevada,-0.3371982
New Hampshire,0.788032812
New Jersey,-0.971011798
New Mexico,-0.830482205
New York,-0.981061364
North Carolina,-0.945462606
North Dakota,0.884537026
Ohio,-0.844668248
Oklahoma,-0.829396054
Oregon,-0.957305199
Pennsylvania,-0.790957525
Rhode Island,-0.914509361
South Carolina,-0.925513949
South Dakota,0.744640648
Tennessee,-0.626014324
Texas,-0.969843412
Utah,-0.741356362
Vermont,0.465062621
Virginia,-0.960517072
Washington,-0.968204128
West Virginia,0.741980275
Wisconsin,0.007613073
Wyoming,-0.834037202